station,valid,metar
SADM,2026-08-03 01:00,SADM 030100Z 05007KT CAVOK 16/14 Q1016
SADM,2026-08-03 02:00,SADM 030200Z 05007KT CAVOK 16/14 Q1016
SADM,2026-08-03 03:00,SADM 030300Z 03005KT CAVOK 16/14 Q1017
SADM,2026-08-03 04:00,SADM 030400Z 02004KT CAVOK 16/13 Q1017
SADM,2026-08-03 05:00,SADM 030500Z 02004KT CAVOK 16/13 Q1017
SADM,2026-08-03 06:00,SADM 030600Z 03002KT CAVOK 15/13 Q1016
SADM,2026-08-03 07:00,SADM 030700Z 09001KT 9000 NSC 13/13 Q1016
SADM,2026-08-03 08:00,SADM 030800Z 11001KT 3000 BR NSC 12/12 Q1015
SADM,2026-08-03 09:00,SADM 030900Z 09002KT 3000 BR NSC 14/13 Q1015
SADM,2026-08-03 10:00,SADM 031000Z 14002KT 9000 NSC 13/12 Q1015
SADM,2026-08-03 11:00,SADM 031100Z 14002KT 3000 BR NSC 14/13 Q1016
SADM,2026-08-03 12:00,SADM 031200Z 14004KT 2500 BR NSC 14/14 Q1016
SADM,2026-08-03 13:00,SADM 031300Z 11003KT 3000 BR BKN005 OVC200 15/14 Q1017
SADM,2026-08-03 14:00,SADM 031400Z 11005KT 5000 BR OVC007 16/14 Q1017
SADM,2026-08-03 15:00,SADM 031500Z 14005KT 7000 OVC008 17/15 Q1017
SADM,2026-08-03 16:00,SADM 031600Z 11004KT 6000 OVC008 16/14 Q1016
SADM,2026-08-03 17:00,SADM 031700Z 14006KT 7000 SCT007 OVC010 16/14 Q1015
SADM,2026-08-03 18:00,SADM 031800Z 14008KT 9999 OVC011 16/13 Q1015
SADM,2026-08-03 19:00,SADM 031900Z 11006KT 9999 OVC012 16/13 Q1015
SADM,2026-08-03 20:00,SADM 032000Z 09007KT 9999 BKN012 OVC050 16/13 Q1015
SADM,2026-08-03 21:00,SADM 032100Z 11005KT 9999 OVC016 16/14 Q1015
SADM,2026-08-03 22:00,SADM 032200Z 11006KT 9999 SCT014 BKN056 15/14 Q1015
SADM,2026-08-03 23:00,SADM 032300Z 09007KT 9999 SCT016 BKN056 15/13 Q1015
SADM,2026-08-04 00:00,SADM 040000Z 14006KT 9999 OVC015 14/13 Q1016
SADM,2026-08-04 01:00,SADM 040100Z 14007KT 9999 OVC015 14/12 Q1016
SADM,2026-08-04 02:00,SADM 040200Z 14007KT 9999 OVC012 14/13 Q1016
SADM,2026-08-04 03:00,SADM 040300Z 14005KT 9999 OVC010 14/13 Q1017
SADM,2026-08-04 04:00,SADM 040400Z 14007KT 9999 OVC008 14/13 Q1017
SADM,2026-08-04 05:00,SADM 040500Z 14006KT 9999 OVC008 14/13 Q1017
SADM,2026-08-04 06:00,SADM 040600Z 14006KT 9999 OVC005 14/13 Q1017
SADM,2026-08-04 07:00,SADM 040700Z 16007KT 9999 OVC005 13/13 Q1016
SADM,2026-08-04 08:00,SADM 040800Z 18006KT 9999 OVC005 13/13 Q1016
SADM,2026-08-04 09:00,SADM 040900Z 18006KT 9999 OVC004 13/12 Q1017
SADM,2026-08-04 10:00,SADM 041000Z 16006KT 9999 OVC005 13/12 Q1017
SADM,2026-08-04 11:00,SADM 041100Z 16005KT 5000 BR OVC005 11/10 Q1018
SADM,2026-08-04 12:00,SADM 041200Z 11004KT 5000 BR OVC004 12/11 Q1018
SADM,2026-08-04 13:00,SADM 041300Z 14006KT 6000 OVC005 12/10 Q1018
SADM,2026-08-04 14:00,SADM 041400Z 14005KT 6000 OVC006 12/10 Q1019
SADM,2026-08-04 15:00,SADM 041500Z 14007KT 6000 OVC008 13/10 Q1018
SADM,2026-08-04 16:00,SADM 041600Z 11005KT 4000 BR OVC010 13/10 Q1018
SADM,2026-08-04 17:00,COR SADM 041700Z 11005KT 4000 BR OVC013 14/10 Q1016
SADM,2026-08-04 18:00,SADM 041800Z 09008KT 9999 OVC016 15/10 Q1016
SADM,2026-08-04 19:00,SADM 041900Z 11006KT 6000 OVC015 15/11 Q1016
SADM,2026-08-04 20:00,SADM 042000Z 09003KT 8000 OVC015 16/12 Q1016
SADM,2026-08-04 21:00,SADM 042100Z 09005KT 6000 OVC009 15/12 Q1016
SADM,2026-08-04 22:00,SADM 042200Z 09005KT 8000 OVC006 14/13 Q1016
SADM,2026-08-04 23:00,SADM 042300Z 07006KT 8000 SCT008 OVC020 14/12 Q1016
SADM,2026-08-05 00:00,SADM 050000Z 09004KT 8000 FEW008 OVC023 14/12 Q1016
SADM,2026-08-05 01:00,SADM 050100Z 09005KT 8000 BKN008 OVC023 14/12 Q1015
SADM,2026-08-05 02:00,SADM 050200Z 09004KT 8000 BKN008 OVC019 15/12 Q1015
SADM,2026-08-05 03:00,SADM 050300Z 09003KT 8000 OVC023 15/13 Q1015
SADM,2026-08-05 04:00,SADM 050400Z 09004KT 8000 SCT008 OVC025 15/13 Q1015
SADM,2026-08-05 05:00,SADM 050500Z 09004KT 8000 BRK008 OVC025 15/13 Q1014
SADM,2026-08-05 06:00,SADM 050600Z 05004KT 3500 -DZ BR BKN008 OVC018 14/14 Q1014
SADM,2026-08-05 07:00,SADM 050700Z 12002KT 3500 -DZ BR OVC003 14/14 Q1013
SADM,2026-08-05 08:00,SADM 050800Z 18002KT 1000 BR OVC003 14/14 Q1013
SADM,2026-08-05 09:00,SADM 050900Z 16004KT 1000 BR OVC003 14/14 Q1013
SADM,2026-08-05 10:00,SADM 051000Z 18004KT 1000 -DZ BR OVC003 14/13 Q1013
SADM,2026-08-05 11:00,SADM 051100Z 18010KT 2000 -DZ BR OVC004 13/13 Q1013
SADM,2026-08-05 12:00,SADM 051200Z 16009KT 2000 -DZ BR OVC003 13/13 Q1013
SADM,2026-08-05 13:00,SADM 051300Z 16008KT 9999 OVC005 14/13 Q1014
SADM,2026-08-05 14:00,SADM 051400Z 16006KT 9999 OVC004 14/12 Q1014
SADM,2026-08-05 15:00,SADM 051500Z 14008KT 9999 OVC007 14/13 Q1013
SADM,2026-08-05 16:00,SADM 051600Z 18008KT 9999 BKN013 15/13 Q1013
SADM,2026-08-05 17:00,SADM 051700Z 14005KT 9999 OVC015 16/14 Q1011
SADM,2026-08-05 18:00,SADM 051800Z 11002KT 9999 OVC014 16/14 Q1011
SADM,2026-08-05 19:00,COR SADM 051900Z 20003KT 9999 OVC015 16/14 Q1011
SADM,2026-08-05 20:00,SADM 052000Z 23006KT 9999 OVC017 16/15 Q1011
SADM,2026-08-05 21:00,COR SADM 052100Z 14004KT 9999 OVC018 15/13 Q1010
SADM,2026-08-05 22:00,SADM 052200Z 14004KT 9999 OVC012 15/13 Q1009
SADM,2026-08-05 23:00,SADM 052300Z 14003KT 9999 OVC014 15/13 Q1010
SADM,2026-08-06 00:00,SADM 060000Z 14002KT 9999 OVC014 15/13 Q1009
SADM,2026-08-06 01:00,SADM 060100Z 14003KT 9999 OVC016 15/13 Q1009
SADM,2026-08-06 02:00,SADM 060200Z 09006KT 9999 OVC014 15/13 Q1008
SADM,2026-08-06 03:00,SADM 060300Z 05004KT 9999 OVC014 15/13 Q1008
SADM,2026-08-06 04:00,SADM 060400Z 05002KT 9999 OVC013 15/13 Q1008
SADM,2026-08-06 05:00,SADM 060500Z 07002KT 9999 OVC012 15/12 Q1007
SADM,2026-08-06 06:00,SADM 060600Z 05005KT 9999 OVC009 14/13 Q1006
SADM,2026-08-06 07:00,SADM 060700Z 07003KT 9999 OVC014 14/13 Q1005
SADM,2026-08-06 08:00,SADM 060800Z 07004KT 9999 OVC011 14/12 Q1005
SADM,2026-08-06 09:00,SADM 060900Z 09004KT 9999 OVC005 14/13 Q1004
SADM,2026-08-06 09:25,SADM 060925Z COR 14004KT 9000 -TSRA OVC004 FEW050CB 14/13 Q1004
SADM,2026-08-06 10:00,SADM 061000Z 14004KT 3000 -TSRA BKN004 FEW050CB 14/13 Q1004
SADM,2026-08-06 11:00,SADM 061100Z 09006KT 3000 -TSRA BKN006 FEW050CB 14/13 Q1002
SADM,2026-08-06 11:17,SADM 061117Z 09005KT 1000 TSRA BR BKN006 FEW045CB 14/13 Q1001
SADM,2026-08-06 12:00,SADM 061200Z 09005KT 1000 TSRA BKN003 FEW045CB 14/13 Q1003
SADM,2026-08-06 13:00,COR SADM 061300Z 07006KT 1000 TSRA BKN004 FEW045CB 14/13 Q1001
SADM,2026-08-06 14:00,SADM 061400Z 23007KT 1000 TSRA BKN004 FEW040CB 14/14 Q1001
SADM,2026-08-06 15:00,SADM 061500Z 14005KT 1500 TSRA SCT009 FEW040CB OVC050 14/13 Q1001
SADM,2026-08-06 15:05,SADM 061505Z 21016G28KT 1500 TSRA SCT005 FEW040CB OVC050 14/13 Q0999
SADM,2026-08-06 16:00,SADM 061600Z 18011KT 9999 SCT008 BKN021 OVC100 13/11 Q1002
SADM,2026-08-06 17:00,SADM 061700Z 20016KT 9000 -RA OVC008 13/12 Q1001
SADM,2026-08-06 18:00,COR SADM 061800Z 20009KT 9999 BKN009 OVC100 13/11 Q1002
SADM,2026-08-06 19:00,SADM 061900Z 18012KT 9999 BKN014 OVC100 13/11 Q1001
SADM,2026-08-06 20:00,SADM 062000Z 23011KT 9999 BKN015 OVC100 13/11 Q1003
SADM,2026-08-06 20:17,SADM 062017Z 21012KT 0800 +DZ OVC005 13/11 Q1003
SADM,2026-08-06 20:23,SADM 062023Z COR 21024G34KT 0500 +RA OVC003 13/11 Q1004
SADM,2026-08-06 21:00,SADM 062100Z 20026KT 3000 RA BKN004 OVC050 13/12 Q1006
SADM,2026-08-06 22:00,SADM 062200Z 20021KT 8000 -RA BKN005 OVC050 13/12 Q1008
SADM,2026-08-06 23:00,SADM 062300Z 20016G26KT 9999 OVC019 09/06 Q1010
SADM,2026-08-07 00:00,SADM 070000Z 20015G25KT 9999 FEW010 OVC025 09/06 Q1011
SADM,2026-08-07 01:00,SADM 070100Z 20019KT 9999 OVC030 08/05 Q1012
SADM,2026-08-07 02:00,SADM 070200Z 20014KT 9999 FEW012 08/05 Q1013
SADM,2026-08-07 03:00,SADM 070300Z 20012KT 9999 FEW012 SCT035 07/05 Q1013
SADM,2026-08-07 04:00,SADM 070400Z 20010KT CAVOK 07/05 Q1013
SADM,2026-08-07 05:00,SADM 070500Z 23010KT CAVOK 06/04 Q1013
SADM,2026-08-07 06:00,SADM 070600Z 23010KT CAVOK 06/04 Q1013
SADM,2026-08-07 07:00,SADM 070700Z 23010KT CAVOK 05/04 Q1013
SADM,2026-08-07 08:00,SADM 070800Z 25008KT CAVOK 06/04 Q1013
SADM,2026-08-07 09:00,COR SADM 070900Z 25004KT CAVOK 05/02 Q1013
SADM,2026-08-07 10:00,SADM 071000Z 25005KT CAVOK 04/03 Q1013
SADM,2026-08-07 11:00,SADM 071100Z 24005KT CAVOK 04/03 Q1013
SADM,2026-08-07 12:00,SADM 071200Z 27006KT CAVOK 05/03 Q1014
SADM,2026-08-07 13:00,SADM 071300Z 28007KT CAVOK 07/04 Q1015
SADM,2026-08-07 14:00,SADM 071400Z 28009KT CAVOK 10/04 Q1015
SADM,2026-08-07 15:00,SADM 071500Z 27011KT CAVOK 10/04 Q1014
SADM,2026-08-07 16:00,SADM 071600Z 27011KT 9999 SCT036 12/02 Q1013
SADM,2026-08-07 17:00,SADM 071700Z 27012KT 9999 SCT040 12/01 Q1012
SADM,2026-08-07 18:00,SADM 071800Z 29013KT 9999 FEW042 13/02 Q1010
SADM,2026-08-07 19:00,SADM 071900Z 29011KT 9999 FEW042 13/01 Q1010
SADM,2026-08-07 20:00,SADM 072000Z 30013KT CAVOK 13/02 Q1009
SADM,2026-08-07 21:00,SADM 072100Z 34008KT CAVOK 12/03 Q1008
SADM,2026-08-07 22:00,SADM 072200Z 34007KT CAVOK 10/03 Q1008
SADM,2026-08-07 23:00,SADM 072300Z 36007KT CAVOK 10/03 Q1007
SADM,2026-08-08 00:00,SADM 080000Z 36007KT CAVOK 09/03 Q1007
SADM,2026-08-08 01:00,SADM 080100Z 36006KT CAVOK 08/03 Q1007
SADM,2026-08-08 02:00,SADM 080200Z 34005KT CAVOK 08/04 Q1007
SADM,2026-08-08 03:00,SADM 080300Z 34006KT CAVOK 07/04 Q1007
SADM,2026-08-08 04:00,SADM 080400Z 36005KT CAVOK 07/04 Q1007
SADM,2026-08-08 05:00,SADM 080500Z 36005KT CAVOK 07/04 Q1006
SADM,2026-08-08 06:00,SADM 080600Z 36006KT CAVOK 07/04 Q1006
SADM,2026-08-08 08:00,SADM 080800Z 34009KT CAVOK 06/04 Q1006
SADM,2026-08-08 09:00,SADM 080900Z 34009KT CAVOK 05/04 Q1006
SADM,2026-08-08 10:00,SADM 081000Z 29006KT CAVOK 06/04 Q1006
SADM,2026-08-08 11:00,SADM 081100Z 27008KT CAVOK 06/04 Q1007
SADM,2026-08-08 12:00,SADM 081200Z 25009KT CAVOK 07/03 Q1008
SADM,2026-08-08 13:00,SADM 081300Z 25009KT CAVOK 07/02 Q1009
SADM,2026-08-08 14:00,SADM 081400Z 25011KT CAVOK 09/01 Q1009
SADM,2026-08-08 15:00,SADM 081500Z 25012KT CAVOK 10/00 Q1009
SADM,2026-08-08 16:00,SADM 081600Z 25012KT CAVOK 11/00 Q1009
SADM,2026-08-08 17:00,SADM 081700Z 25012KT CAVOK 11/00 Q1009
SADM,2026-08-08 18:00,SADM 081800Z 25015KT CAVOK 12/M02 Q1009
SADM,2026-08-08 19:00,SADM 081900Z 25014KT CAVOK 14/M02 Q1009
SADM,2026-08-08 20:00,SADM 082000Z 25012KT CAVOK 12/M02 Q1010
SADM,2026-08-08 21:00,SADM 082100Z 23013KT CAVOK 11/M04 Q1011
SADM,2026-08-08 22:00,SADM 082200Z 23007KT CAVOK 10/M02 Q1011
SADM,2026-08-08 23:00,SADM 082300Z 27005KT CAVOK 09/M01 Q1013
SADM,2026-08-09 00:00,SADM 090000Z 27005KT CAVOK 08/M00 Q1013
SADM,2026-08-09 01:00,SADM 090100Z 29005KT CAVOK 07/00 Q1014
SADM,2026-08-09 02:00,SADM 090200Z 29005KT CAVOK 07/M00 Q1015
SADM,2026-08-09 03:00,SADM 090300Z 29004KT CAVOK 06/M00 Q1015
SADM,2026-08-09 04:00,SADM 090400Z 32006KT CAVOK 06/M00 Q1016
SADM,2026-08-09 05:00,SADM 090500Z 29007KT CAVOK 06/M01 Q1016
SADM,2026-08-09 06:00,SADM 090600Z 29006KT CAVOK 05/M01 Q1016
SADM,2026-08-09 07:00,SADM 090700Z 29006KT CAVOK 05/M01 Q1016
SADM,2026-08-09 08:00,SADM 090800Z 29005KT CAVOK 04/M01 Q1017
SADM,2026-08-09 09:00,SADM 090900Z 27005KT CAVOK 04/M02 Q1017
SADM,2026-08-09 10:00,SADM 091000Z 27005KT CAVOK 04/M02 Q1018
SADM,2026-08-09 11:00,SADM 091100Z 27006KT CAVOK 04/M02 Q1019
SADM,2026-08-09 12:00,SADM 091200Z 24007KT CAVOK 06/M02 Q1020
SADM,2026-08-09 13:00,SADM 091300Z 24008KT CAVOK 08/M02 Q1021
SADM,2026-08-09 14:00,SADM 091400Z 21010KT CAVOK 10/M01 Q1022
SADM,2026-08-09 15:00,SADM 091500Z 23010KT CAVOK 11/00 Q1022
SADM,2026-08-09 16:00,SADM 091600Z 25009KT CAVOK 12/01 Q1023
SADM,2026-08-09 17:00,SADM 091700Z 23012KT CAVOK 13/M01 Q1022
SADM,2026-08-09 18:00,SADM 091800Z 20015KT 9999 FEW030 13/00 Q1023
SADM,2026-08-09 19:00,SADM 091900Z 23012KT 9999 FEW030 13/M02 Q1023
SADM,2026-08-09 20:00,SADM 092000Z 23013KT CAVOK 13/M02 Q1024
SADM,2026-08-09 21:00,SADM 092100Z 20010KT CAVOK 11/M01 Q1025
SADM,2026-08-09 22:00,SADM 092200Z 20007KT CAVOK 08/M02 Q1026
SADM,2026-08-09 23:00,SADM 092300Z 20008KT CAVOK 07/M02 Q1027
SADM,2026-08-10 00:00,SADM 100000Z 18008KT CAVOK 06/M01 Q1028
SADM,2026-08-10 01:00,SADM 100100Z 20009KT CAVOK 05/M01 Q1028
SADM,2026-08-10 02:00,SADM 100200Z 20005KT CAVOK 06/01 Q1029
SADM,2026-08-10 03:00,SADM 100300Z 23004KT CAVOK 06/01 Q1032
SADM,2026-08-10 04:00,SADM 100400Z 23005KT CAVOK 05/02 Q1032
SADM,2026-08-10 05:00,SADM 100500Z 20005KT CAVOK 04/01 Q1033
SADM,2026-08-10 06:00,SADM 100600Z 20008KT CAVOK 04/01 Q1033
SADM,2026-08-10 07:00,SADM 100700Z 20009KT CAVOK 04/02 Q1033
SADM,2026-08-10 08:00,SADM 100800Z 20008KT CAVOK 04/01 Q1033
SADM,2026-08-10 09:00,SADM 100900Z 20005KT CAVOK 02/00 Q1033
SADM,2026-08-10 10:00,SADM 101000Z 20005KT CAVOK 02/M01 Q1034
SADM,2026-08-10 10:36,SADM 101036Z COR 23002KT 5000 BR NSC 02/M01 Q1034
SADM,2026-08-10 11:00,SADM 101100Z 18002KT 3000 BR NSC 01/M00 Q1035
SADM,2026-08-10 11:36,SADM 101136Z 18005KT 5000 BR NSC 01/M00 Q1035
SADM,2026-08-10 12:00,SADM 101200Z 18004KT 8000 NSC 02/M00 Q1035
SADM,2026-08-10 13:00,SADM 101300Z 16005KT CAVOK 05/M00 Q1036
SADM,2026-08-10 14:00,SADM 101400Z 14005KT CAVOK 07/M01 Q1036
SADM,2026-08-10 15:00,SADM 101500Z 14008KT CAVOK 10/M01 Q1036
SADM,2026-08-10 16:00,SADM 101600Z 14007KT CAVOK 11/M00 Q1036
SADM,2026-08-10 17:00,SADM 101700Z 16006KT CAVOK 11/M00 Q1035
SADM,2026-08-10 18:00,SADM 101800Z 16005KT CAVOK 12/M00 Q1034
SADM,2026-08-10 19:00,SADM 101900Z 16005KT CAVOK 12/M01 Q1034
SADM,2026-08-10 20:00,SADM 102000Z 14006KT CAVOK 12/M01 Q1033
SADM,2026-08-10 21:00,SADM 102100Z 14006KT CAVOK 11/M01 Q1034
SADM,2026-08-10 22:00,SADM 102200Z 09004KT CAVOK 10/01 Q1034
SADM,2026-08-10 23:00,SADM 102300Z 09004KT CAVOK 10/02 Q1034
SADM,2026-08-11 00:00,SADM 110000Z 09002KT CAVOK 09/04 Q1034
SADM,2026-08-11 01:00,SADM 110100Z 14001KT CAVOK 08/04 Q1034
SADM,2026-08-11 02:00,SADM 110200Z 14002KT CAVOK 08/05 Q1035
SADM,2026-08-11 03:00,SADM 110300Z 14003KT CAVOK 08/05 Q1034
SADM,2026-08-11 04:00,SADM 110400Z 14003KT CAVOK 07/04 Q1035
SADM,2026-08-11 05:00,SADM 110500Z 14004KT CAVOK 07/03 Q1034
SADM,2026-08-11 06:00,SADM 110600Z 09002KT 9999 FEW030 SCT200 07/03 Q1034
SADM,2026-08-11 08:00,SADM 110800Z 14002KT 9999 SCT030 BKN200 06/03 Q1033
SADM,2026-08-11 09:00,SADM 110900Z 14002KT 9999 BKN030 06/04 Q1033
SADM,2026-08-11 10:00,SADM 111000Z 14004KT 9999 BKN030 06/04 Q1033
SADM,2026-08-11 11:00,SADM 111100Z 11003KT 9000 BKN030 BKN200 07/02 Q1033
SADM,2026-08-11 12:00,SADM 111200Z 11004KT 9000 BKN032 BKN200 07/02 Q1033
SADM,2026-08-11 13:00,SADM 111300Z 13006KT 6000 BKN029 BKN200 08/02 Q1033
SADM,2026-08-11 14:00,SADM 111400Z 10006KT 6000 OVC029 09/03 Q1033
SADM,2026-08-11 15:00,SADM 111500Z 09007KT 9000 OVC026 10/03 Q1032
SADM,2026-08-11 16:00,COR SADM 111600Z 09006KT 9999 BKN028 10/04 Q1032
SADM,2026-08-11 17:00,SADM 111700Z 07008KT 9999 BKN030 11/03 Q1031
SADM,2026-08-11 18:00,SADM 111800Z 09009KT 9999 BKN028 11/04 Q1029
SADM,2026-08-11 19:00,SADM 111900Z 07008KT 9000 SCT028 BKN200 11/03 Q1029
SADM,2026-08-11 20:00,SADM 112000Z 09006KT 9000 SCT030 OVC200 11/03 Q1029
SADM,2026-08-11 21:00,SADM 112100Z 11007KT 9999 FEW028 OVC200 10/03 Q1028
SADM,2026-08-11 22:00,SADM 112200Z 09008KT 9999 FEW028 BKN200 09/02 Q1028
SADM,2026-08-11 23:00,SADM 112300Z 11007KT 9999 SCT024 SCT200 09/03 Q1028
SADM,2026-08-12 00:00,SADM 120000Z 11006KT 9999 BKN022 09/03 Q1028
SADM,2026-08-12 01:00,SADM 120100Z 11006KT 9999 SCT025 08/03 Q1027
SADM,2026-08-12 02:00,SADM 120200Z 14006KT 9999 SCT025 08/04 Q1027
SADM,2026-08-12 03:00,SADM 120300Z 13005KT 9999 BKN019 07/04 Q1027
SADM,2026-08-12 04:00,SADM 120400Z 13004KT 9999 OVC019 08/04 Q1027
SADM,2026-08-12 05:00,SADM 120500Z 09003KT 9999 BKN019 OVC200 09/03 Q1026
SADM,2026-08-12 06:00,SADM 120600Z 07008KT 9999 BKN019 OVC200 09/06 Q1025
SADM,2026-08-12 07:00,SADM 120700Z 09007KT 9999 BKN019 OVC200 10/06 Q1025
SADM,2026-08-12 08:00,SADM 120800Z 09006KT 9999 FEW019 OVC200 09/06 Q1024
SADM,2026-08-12 09:00,SADM 120900Z 09005KT 9999 BKN019 OVC200 09/06 Q1024
SADM,2026-08-12 10:00,SADM 121000Z 11004KT 9999 FEW019 OVC200 09/06 Q1023
SADM,2026-08-12 11:00,SADM 121100Z 11006KT CAVOK 09/06 Q1023
SADM,2026-08-12 12:00,SADM 121200Z 11004KT CAVOK 08/05 Q1023
SADM,2026-08-12 13:00,SADM 121300Z 14008KT 9999 BKN017 SCT100 OVC200 09/06 Q1023
SADM,2026-08-12 14:00,SADM 121400Z 14007KT 9999 BKN020 OVC200 10/06 Q1023
SADM,2026-08-12 15:00,SADM 121500Z 11008KT 9999 OVC020 11/07 Q1023
SADM,2026-08-12 16:00,SADM 121600Z 16009KT 9999 OVC018 11/07 Q1023
SADM,2026-08-12 17:00,SADM 121700Z 16009KT 9999 OVC022 11/07 Q1022
SADM,2026-08-12 18:00,SADM 121800Z 14010KT 9999 BKN017 BKN200 12/07 Q1021
SADM,2026-08-12 19:00,SADM 121900Z 14011KT 9999 OVC019 11/07 Q1020
SADM,2026-08-12 20:00,SADM 122000Z 14009KT 9999 BKN025 OVC200 11/07 Q1020
SADM,2026-08-12 21:00,SADM 122100Z 14009KT 9999 BKN017 BKN200 10/07 Q1021
SADM,2026-08-12 22:00,SADM 122200Z 14009KT 9999 OVC019 11/07 Q1021
SADM,2026-08-12 23:00,SADM 122300Z 14011KT 9999 OVC017 09/06 Q1021
SADM,2026-08-13 00:00,SADM 130000Z 14010KT 9999 OVC015 09/06 Q1023
SADM,2026-08-13 01:00,SADM 130100Z 14008KT 9999 OVC015 09/06 Q1023
SADM,2026-08-13 02:00,SADM 130200Z 14010KT 9999 OVC016 09/06 Q1023
SADM,2026-08-13 03:00,SADM 130300Z 14011KT 9999 OVC016 08/06 Q1023
